occupation,occupationLabel,occupationIndex
2600,B4-Technical Unskilled,5
2630,B1-Prof Specialty,2
2700,B4-Technical Unskilled,5
2710,B1-Prof Specialty,2
2720,B4-Technical Unskilled,5
2740,B4-Technical Unskilled,5
2750,B1-Prof Specialty,2
2760,B4-Technical Unskilled,5
2800,B4-Technical Unskilled,5
2810,B1-Prof Specialty,2
2825,B1-Prof Specialty,2
2830,B1-Prof Specialty,2
2840,B1-Prof Specialty,2
2850,B1-Prof Specialty,2
2860,B4-Technical Unskilled,5
2900,B4-Technical Unskilled,5
2910,B4-Technical Unskilled,5
2920,B1-Prof Specialty,2
3000,B3-Health,4
3010,B3-Health,4
3030,B3-Health,4
3040,B3-Health,4
3050,B3-Health,4
3060,B3-Health,4
3110,B3-Health,4
3120,B3-Health,4
3140,B3-Health,4
3150,B3-Health,4
3160,B3-Health,4
3200,B3-Health,4
3210,B3-Health,4
3220,B4-Technical Unskilled,5
3230,B3-Health,4
3245,B3-Health,4
3250,B3-Health,4
3255,B3-Health,4
3256,B3-Health,4
3258,B3-Health,4
3260,B3-Health,4
3300,B4-Technical Unskilled,5
3310,B4-Technical Unskilled,5
3320,B4-Technical Unskilled,5
3400,B4-Technical Unskilled,5
3420,B4-Technical Unskilled,5
3500,B4-Technical Unskilled,5
3510,B4-Technical Unskilled,5
3520,B4-Technical Unskilled,5
3535,B4-Technical Unskilled,5
3540,B3-Health,4
3600,B4-Technical Unskilled,5
3610,B4-Technical Unskilled,5
3620,B4-Technical Unskilled,5
3630,B4-Technical Unskilled,5
3640,B4-Technical Unskilled,5
3645,B4-Technical Unskilled,5
3646,B4-Technical Unskilled,5
3647,B4-Technical Unskilled,5
3648,B4-Technical Unskilled,5
3649,B4-Technical Unskilled,5
3655,B4-Technical Unskilled,5
3700,D3-ProtectTrans Specialists,12
3710,D3-ProtectTrans Specialists,12
3720,D3-ProtectTrans Specialists,12
3730,D3-ProtectTrans Specialists,12
3740,D3-ProtectTrans Specialists,12
3750,D3-ProtectTrans Specialists,12
3800,D3-ProtectTrans Specialists,12
3820,D3-ProtectTrans Specialists,12
3840,D3-ProtectTrans Specialists,12
3850,D3-ProtectTrans Specialists,12
3900,D3-ProtectTrans Specialists,12
3910,D3-ProtectTrans Specialists,12
3930,D3-ProtectTrans Specialists,12
3940,D3-ProtectTrans Specialists,12
3945,D3-ProtectTrans Specialists,12
3955,D4-Blue Collar Unskilled,13
4000,C4-Sales Clerical Unskilled,9
4010,C2-Sales Service,7
4020,C4-Sales Clerical Unskilled,9
4030,C4-Sales Clerical Unskilled,9
4040,C2-Sales Service,7
4050,C4-Sales Clerical Unskilled,9
4060,C4-Sales Clerical Unskilled,9
4110,C4-Sales Clerical Unskilled,9
4120,C4-Sales Clerical Unskilled,9
4130,C4-Sales Clerical Unskilled,9
4140,C4-Sales Clerical Unskilled,9
4150,C4-Sales Clerical Unskilled,9
4200,D4-Blue Collar Unskilled,13
4210,D2-MaintConstRepair Specialists,11
4220,D4-Blue Collar Unskilled,13
4230,D4-Blue Collar Unskilled,13
4240,D2-MaintConstRepair Specialists,11
4250,D4-Blue Collar Unskilled,13
4300,C2-Sales Service,7
4320,C2-Sales Service,7
4340,C2-Sales Service,7
4350,C2-Sales Service,7
4400,C2-Sales Service,7
4410,C2-Sales Service,7
4420,C4-Sales Clerical Unskilled,9
4430,C4-Sales Clerical Unskilled,9
4460,C2-Sales Service,7
4465,C1-Sales Clerical Professionals,6
4500,C2-Sales Service,7
4510,C2-Sales Service,7
4520,C4-Sales Clerical Unskilled,9
4530,C2-Sales Service,7
4540,C1-Sales Clerical Professionals,6
4600,C4-Sales Clerical Unskilled,9
4610,C4-Sales Clerical Unskilled,9
4620,C1-Sales Clerical Professionals,6
4640,C2-Sales Service,7
4650,C2-Sales Service,7
4700,C2-Sales Service,7
4710,C1-Sales Clerical Professionals,6
4720,C4-Sales Clerical Unskilled,9
4740,C2-Sales Service,7
4750,C2-Sales Service,7
4760,C2-Sales Service,7
4800,C1-Sales Clerical Professionals,6
4810,C1-Sales Clerical Professionals,6
4820,C1-Sales Clerical Professionals,6
4830,C1-Sales Clerical Professionals,6
4840,C1-Sales Clerical Professionals,6
4850,C1-Sales Clerical Professionals,6
4900,C2-Sales Service,7
4920,C1-Sales Clerical Professionals,6
4930,C1-Sales Clerical Professionals,6
4940,C2-Sales Service,7
4950,C4-Sales Clerical Unskilled,9
4965,C1-Sales Clerical Professionals,6
5000,C1-Sales Clerical Professionals,6
5010,C3-Clerical,8
5020,C1-Sales Clerical Professionals,6
5030,C1-Sales Clerical Professionals,6
5100,C3-Clerical,8
5110,C3-Clerical,8
5120,C3-Clerical,8
5130,C3-Clerical,8
5140,C1-Sales Clerical Professionals,6
5150,C1-Sales Clerical Professionals,6
5160,C3-Clerical,8
5165,C1-Sales Clerical Professionals,6
5200,C1-Sales Clerical Professionals,6
5220,C1-Sales Clerical Professionals,6
5230,C1-Sales Clerical Professionals,6
5240,C3-Clerical,8
5250,C1-Sales Clerical Professionals,6
5260,C4-Sales Clerical Unskilled,9
5300,C3-Clerical,8
5310,C3-Clerical,8
5320,C1-Sales Clerical Professionals,6
5330,C1-Sales Clerical Professionals,6
5340,C3-Clerical,8
5350,C3-Clerical,8
5360,C1-Sales Clerical Professionals,6
5400,C3-Clerical,8
5410,C3-Clerical,8
5420,C1-Sales Clerical Professionals,6
5500,C3-Clerical,8
5510,C3-Clerical,8
5520,C3-Clerical,8
5530,C3-Clerical,8
5540,C3-Clerical,8
5550,C3-Clerical,8
5560,C1-Sales Clerical Professionals,6
5600,C1-Sales Clerical Professionals,6
5610,C4-Sales Clerical Unskilled,9
5620,C4-Sales Clerical Unskilled,9
5630,C4-Sales Clerical Unskilled,9
5700,C3-Clerical,8
5800,C1-Sales Clerical Professionals,6
5810,C3-Clerical,8
5820,C3-Clerical,8
5840,C1-Sales Clerical Professionals,6
5850,C3-Clerical,8
5860,C3-Clerical,8
5900,C4-Sales Clerical Unskilled,9
5910,C1-Sales Clerical Professionals,6
5920,C1-Sales Clerical Professionals,6
5940,C1-Sales Clerical Professionals,6
6005,D4-Blue Collar Unskilled,13
6010,D1-Production Specialists,10
6040,D4-Blue Collar Unskilled,13
6050,D4-Blue Collar Unskilled,13
6100,D4-Blue Collar Unskilled,13
6120,D4-Blue Collar Unskilled,13
6130,D4-Blue Collar Unskilled,13
6200,D2-MaintConstRepair Specialists,11
6210,D2-MaintConstRepair Specialists,11
6220,D2-MaintConstRepair Specialists,11
6230,D4-Blue Collar Unskilled,13
6240,D4-Blue Collar Unskilled,13
6250,D4-Blue Collar Unskilled,13
6260,D4-Blue Collar Unskilled,13
6300,D4-Blue Collar Unskilled,13
6320,D2-MaintConstRepair Specialists,11
6330,D4-Blue Collar Unskilled,13
6355,D2-MaintConstRepair Specialists,11
6360,D2-MaintConstRepair Specialists,11
6400,D4-Blue Collar Unskilled,13
6420,D4-Blue Collar Unskilled,13
6440,D2-MaintConstRepair Specialists,11
6460,D4-Blue Collar Unskilled,13
6515,D4-Blue Collar Unskilled,13
6520,D2-MaintConstRepair Specialists,11
6530,D2-MaintConstRepair Specialists,11
6600,D4-Blue Collar Unskilled,13
6660,D2-MaintConstRepair Specialists,11
6700,D2-MaintConstRepair Specialists,11
6710,D4-Blue Collar Unskilled,13
6720,D4-Blue Collar Unskilled,13
6730,D2-MaintConstRepair Specialists,11
6740,D2-MaintConstRepair Specialists,11
6765,D4-Blue Collar Unskilled,13
6800,D2-MaintConstRepair Specialists,11
6820,D2-MaintConstRepair Specialists,11
6830,D4-Blue Collar Unskilled,13
6840,D2-MaintConstRepair Specialists,11
6940,D2-MaintConstRepair Specialists,11
7000,D2-MaintConstRepair Specialists,11
7010,D2-MaintConstRepair Specialists,11
7020,D2-MaintConstRepair Specialists,11
7030,D2-MaintConstRepair Specialists,11
7040,D2-MaintConstRepair Specialists,11
7100,D2-MaintConstRepair Specialists,11
7110,D2-MaintConstRepair Specialists,11
7120,D2-MaintConstRepair Specialists,11
7130,D2-MaintConstRepair Specialists,11
7140,D2-MaintConstRepair Specialists,11
7150,D4-Blue Collar Unskilled,13
7160,D4-Blue Collar Unskilled,13
7200,D2-MaintConstRepair Specialists,11
7210,D2-MaintConstRepair Specialists,11
7220,D2-MaintConstRepair Specialists,11
7240,D2-MaintConstRepair Specialists,11
7260,D2-MaintConstRepair Specialists,11
7300,D2-MaintConstRepair Specialists,11
7315,D2-MaintConstRepair Specialists,11
7320,D2-MaintConstRepair Specialists,11
7330,D2-MaintConstRepair Specialists,11
7340,D2-MaintConstRepair Specialists,11
7350,D2-MaintConstRepair Specialists,11
7360,D2-MaintConstRepair Specialists,11
7410,D2-MaintConstRepair Specialists,11
7420,D2-MaintConstRepair Specialists,11
7430,D2-MaintConstRepair Specialists,11
7510,D2-MaintConstRepair Specialists,11
7540,D2-MaintConstRepair Specialists,11
7560,D2-MaintConstRepair Specialists,11
7610,D4-Blue Collar Unskilled,13
7630,D2-MaintConstRepair Specialists,11
7700,D1-Production Specialists,10
7710,D4-Blue Collar Unskilled,13
7720,D4-Blue Collar Unskilled,13
7730,D1-Production Specialists,10
7740,D1-Production Specialists,10
7750,D4-Blue Collar Unskilled,13
7800,D1-Production Specialists,10
7810,D4-Blue Collar Unskilled,13
7830,D4-Blue Collar Unskilled,13
7840,D4-Blue Collar Unskilled,13
7850,D4-Blue Collar Unskilled,13
7855,D4-Blue Collar Unskilled,13
7900,D1-Production Specialists,10
7920,D1-Production Specialists,10
7930,D4-Blue Collar Unskilled,13
7940,D1-Production Specialists,10
7950,D4-Blue Collar Unskilled,13
8030,D1-Production Specialists,10
8040,D4-Blue Collar Unskilled,13
8100,D4-Blue Collar Unskilled,13
8130,D1-Production Specialists,10
8140,D1-Production Specialists,10
8220,D1-Production Specialists,10
8250,D1-Production Specialists,10
8255,D1-Production Specialists,10
8256,D1-Production Specialists,10
8300,D4-Blue Collar Unskilled,13
8310,D4-Blue Collar Unskilled,13
8320,D4-Blue Collar Unskilled,13
8330,D4-Blue Collar Unskilled,13
8350,D1-Production Specialists,10
8400,D4-Blue Collar Unskilled,13
8420,D4-Blue Collar Unskilled,13
8450,D4-Blue Collar Unskilled,13
8460,D4-Blue Collar Unskilled,13
8500,D4-Blue Collar Unskilled,13
8510,D4-Blue Collar Unskilled,13
8530,D4-Blue Collar Unskilled,13
8540,D4-Blue Collar Unskilled,13
8550,D4-Blue Collar Unskilled,13
8600,D1-Production Specialists,10
8610,D1-Production Specialists,10
8620,D1-Production Specialists,10
8630,D1-Production Specialists,10
8640,D1-Production Specialists,10
8650,D1-Production Specialists,10
8710,D4-Blue Collar Unskilled,13
8720,D1-Production Specialists,10
8730,D1-Production Specialists,10
8740,D1-Production Specialists,10
8750,D1-Production Specialists,10
8760,D1-Production Specialists,10
8800,D4-Blue Collar Unskilled,13
8810,D4-Blue Collar Unskilled,13
8830,D1-Production Specialists,10
8850,D1-Production Specialists,10
8910,D1-Production Specialists,10
8920,D1-Production Specialists,10
8930,D1-Production Specialists,10
8940,D1-Production Specialists,10
8950,D4-Blue Collar Unskilled,13
8965,D1-Production Specialists,10
9000,D3-ProtectTrans Specialists,12
9030,D3-ProtectTrans Specialists,12
9040,D3-ProtectTrans Specialists,12
9050,D3-ProtectTrans Specialists,12
9110,D3-ProtectTrans Specialists,12
9120,D3-ProtectTrans Specialists,12
9130,D3-ProtectTrans Specialists,12
9140,D3-ProtectTrans Specialists,12
9150,D3-ProtectTrans Specialists,12
9200,D3-ProtectTrans Specialists,12
9240,D3-ProtectTrans Specialists,12
9260,D3-ProtectTrans Specialists,12
9300,D3-ProtectTrans Specialists,12
9310,D3-ProtectTrans Specialists,12
9350,D3-ProtectTrans Specialists,12
9360,D4-Blue Collar Unskilled,13
9410,D3-ProtectTrans Specialists,12
9415,D3-ProtectTrans Specialists,12
9420,D3-ProtectTrans Specialists,12
9510,D3-ProtectTrans Specialists,12
9520,D4-Blue Collar Unskilled,13
9560,D4-Blue Collar Unskilled,13
9600,D4-Blue Collar Unskilled,13
9610,D4-Blue Collar Unskilled,13
9620,D4-Blue Collar Unskilled,13
9630,D3-ProtectTrans Specialists,12
9640,D4-Blue Collar Unskilled,13
9650,D3-ProtectTrans Specialists,12
9720,D3-ProtectTrans Specialists,12
9750,D4-Blue Collar Unskilled,13
9800,D3-ProtectTrans Specialists,12
9810,D3-ProtectTrans Specialists,12
9820,D3-ProtectTrans Specialists,12
9830,D3-ProtectTrans Specialists,12
9920,No_Occupation,0
