BETA,RRA,Agg,StAgg,COUNTY
2556,MWV,ValleyTotal,Oregon,Ignore
2558,MWV,ValleyTotal,Oregon,Ignore
2565,MWV,ValleyTotal,Oregon,Ignore
2566,MWV,ValleyTotal,Oregon,Ignore
2568,MWV,ValleyTotal,Oregon,Ignore
2569,MWV,ValleyTotal,Oregon,Ignore
2573,MWV,ValleyTotal,Oregon,Ignore
2578,MWV,ValleyTotal,Oregon,Ignore
2579,SV,ValleyTotal,Oregon,Ignore
2582,SV,ValleyTotal,Oregon,Ignore
2584,SV,ValleyTotal,Oregon,Ignore
2589,SV,ValleyTotal,Oregon,Ignore
2598,SV,ValleyTotal,Oregon,Ignore
2599,SV,ValleyTotal,Oregon,Ignore
2601,SV,ValleyTotal,Oregon,Ignore
2603,SV,ValleyTotal,Oregon,Ignore
2605,SV,ValleyTotal,Oregon,Ignore
2613,SV,ValleyTotal,Oregon,Ignore
2616,SV,ValleyTotal,Oregon,Ignore
2617,SV,ValleyTotal,Oregon,Ignore
2618,SV,ValleyTotal,Oregon,Ignore
2620,SV,ValleyTotal,Oregon,Ignore
2623,SV,ValleyTotal,Oregon,Ignore
2638,SV,ValleyTotal,Oregon,Ignore
2654,SV,ValleyTotal,Oregon,Ignore
2658,SV,ValleyTotal,Oregon,Ignore
2662,SV,ValleyTotal,Oregon,Ignore
2664,SV,ValleyTotal,Oregon,Ignore
2666,SV,ValleyTotal,Oregon,Ignore
2670,SV,ValleyTotal,Oregon,Ignore
2671,SV,ValleyTotal,Oregon,Ignore
2672,SV,ValleyTotal,Oregon,Ignore
2678,SV,ValleyTotal,Oregon,Ignore
2679,SV,ValleyTotal,Oregon,Ignore
2683,SV,ValleyTotal,Oregon,Ignore
2692,SV,ValleyTotal,Oregon,Ignore
2696,SV,ValleyTotal,Oregon,Ignore
2699,SV,ValleyTotal,Oregon,Ignore
2711,SV,ValleyTotal,Oregon,Ignore
2712,SV,ValleyTotal,Oregon,Ignore
2721,SV,ValleyTotal,Oregon,Ignore
2722,SV,ValleyTotal,Oregon,Ignore
2724,SV,ValleyTotal,Oregon,Ignore
2726,SV,ValleyTotal,Oregon,Ignore
2727,SV,ValleyTotal,Oregon,Ignore
2732,SV,ValleyTotal,Oregon,Ignore
2733,SV,ValleyTotal,Oregon,Ignore
2735,SV,ValleyTotal,Oregon,Ignore
2740,SV,ValleyTotal,Oregon,Ignore
2742,SV,ValleyTotal,Oregon,Ignore
2756,SV,ValleyTotal,Oregon,Ignore
2759,SV,ValleyTotal,Oregon,Ignore
2767,SV,ValleyTotal,Oregon,Ignore
2772,SV,ValleyTotal,Oregon,Ignore
2779,SV,ValleyTotal,Oregon,Ignore
2782,Metro,ValleyTotal,Oregon,Ignore
2783,Metro,ValleyTotal,Oregon,Ignore
2784,Metro,ValleyTotal,Oregon,Ignore
2787,Metro,ValleyTotal,Oregon,Ignore
2800,N_Central_Act6,EastTotal,Oregon,Ignore
2807,N_Central_Act6,EastTotal,Oregon,Ignore
2817,N_Central_Act6,EastTotal,Oregon,Ignore
2821,N_Central_Act6,EastTotal,Oregon,Ignore
2822,N_Central_Act6,EastTotal,Oregon,Ignore
2823,N_Central_Act6,EastTotal,Oregon,Ignore
2824,N_Central_Act6,EastTotal,Oregon,Ignore
2825,N_Central_Act6,EastTotal,Oregon,Ignore
2826,N_Central_Act6,EastTotal,Oregon,Ignore
2827,N_Central_Act6,EastTotal,Oregon,Ignore
2828,N_Central_Act6,EastTotal,Oregon,Ignore
2829,Central_Act7,EastTotal,Oregon,Ignore
2830,Central_Act7,EastTotal,Oregon,Ignore
2831,Central_Act7,EastTotal,Oregon,Ignore
2836,Central_Act7,EastTotal,Oregon,Ignore
2837,Central_Act7,EastTotal,Oregon,Ignore
2839,Central_Act7,EastTotal,Oregon,Ignore
2841,N_Central_Act6,EastTotal,Oregon,Ignore
2842,N_Central_Act6,EastTotal,Oregon,Ignore
2843,Central_Act7,EastTotal,Oregon,Ignore
2846,Central_Act7,EastTotal,Oregon,Ignore
2847,Central_Act7,EastTotal,Oregon,Ignore
2848,Central_Act7,EastTotal,Oregon,Ignore
2857,Central_Act7,EastTotal,Oregon,Ignore
2859,Central_Act7,EastTotal,Oregon,Ignore
2860,Central_Act7,EastTotal,Oregon,Ignore
2861,Central_Act7,EastTotal,Oregon,Ignore
2863,Central_Act7,EastTotal,Oregon,Ignore
2866,Central_Act7,EastTotal,Oregon,Ignore
2872,Central_Act7,EastTotal,Oregon,Ignore
2878,Central_Act7,EastTotal,Oregon,Ignore
2879,Central_Act7,EastTotal,Oregon,Ignore
2884,Central_Act7,EastTotal,Oregon,Ignore
2889,Central_Act7,EastTotal,Oregon,Ignore
2894,S_Central_Act4,EastTotal,Oregon,Ignore
2895,S_Central_Act4,EastTotal,Oregon,Ignore
2896,S_Central_Act4,EastTotal,Oregon,Ignore
2897,S_Central_Act4,EastTotal,Oregon,Ignore
2898,S_Central_Act4,EastTotal,Oregon,Ignore
2899,S_Central_Act4,EastTotal,Oregon,Ignore
2900,S_Central_Act4,EastTotal,Oregon,Ignore
2901,S_Central_Act4,EastTotal,Oregon,Ignore
2906,S_Central_Act4,EastTotal,Oregon,Ignore
2908,S_Central_Act4,EastTotal,Oregon,Ignore
2911,S_Central_Act4,EastTotal,Oregon,Ignore
2955,S_Central_Act4,EastTotal,Oregon,Ignore
2956,S_Central_Act4,EastTotal,Oregon,Ignore
2957,S_Central_Act4,EastTotal,Oregon,Ignore
2958,S_Central_Act4,EastTotal,Oregon,Ignore
2959,S_Central_Act4,EastTotal,Oregon,Ignore
2960,S_Central_Act4,EastTotal,Oregon,Ignore
2964,Central_Act7,EastTotal,Oregon,Ignore
2968,Central_Act7,EastTotal,Oregon,Ignore
2970,Central_Act7,EastTotal,Oregon,Ignore
2971,Central_Act7,EastTotal,Oregon,Ignore
2972,Central_Act7,EastTotal,Oregon,Ignore
2974,Central_Act7,EastTotal,Oregon,Ignore
2981,Central_Act7,EastTotal,Oregon,Ignore
2984,Central_Act7,EastTotal,Oregon,Ignore
2987,Central_Act7,EastTotal,Oregon,Ignore
2988,Central_Act7,EastTotal,Oregon,Ignore
3012,NE_Act3,EastTotal,Oregon,Ignore
3015,NE_Act3,EastTotal,Oregon,Ignore
3017,NE_Act3,EastTotal,Oregon,Ignore
3020,NE_Act3,EastTotal,Oregon,Ignore
3022,NE_Act3,EastTotal,Oregon,Ignore
3025,NE_Act3,EastTotal,Oregon,Ignore
3027,NE_Act3,EastTotal,Oregon,Ignore
3032,NE_Act3,EastTotal,Oregon,Ignore
3040,NE_Act3,EastTotal,Oregon,Ignore
3042,NE_Act3,EastTotal,Oregon,Ignore
3043,NE_Act3,EastTotal,Oregon,Ignore
3044,NE_Act3,EastTotal,Oregon,Ignore
3054,NE_Act3,EastTotal,Oregon,Ignore
3056,NE_Act3,EastTotal,Oregon,Ignore
3062,NE_Act3,EastTotal,Oregon,Ignore
3072,NE_Act3,EastTotal,Oregon,Ignore
3073,NE_Act3,EastTotal,Oregon,Ignore
3074,NE_Act3,EastTotal,Oregon,Ignore
3077,NE_Act3,EastTotal,Oregon,Ignore
3081,NE_Act3,EastTotal,Oregon,Ignore
3082,NE_Act3,EastTotal,Oregon,Ignore
3083,NE_Act3,EastTotal,Oregon,Ignore
3087,NE_Act3,EastTotal,Oregon,Ignore
3092,NE_Act3,EastTotal,Oregon,Ignore
3106,NE_Act3,EastTotal,Oregon,Ignore
3108,NE_Act3,EastTotal,Oregon,Ignore
3111,NE_Act3,EastTotal,Oregon,Ignore
3112,NE_Act3,EastTotal,Oregon,Ignore
3117,SE_Act11,EastTotal,Oregon,Ignore
3118,SE_Act11,EastTotal,Oregon,Ignore
3119,SE_Act11,EastTotal,Oregon,Ignore
3120,SE_Act11,EastTotal,Oregon,Ignore
3121,SE_Act11,EastTotal,Oregon,Ignore
3126,NE_Act3,EastTotal,Oregon,Ignore
3128,NE_Act3,EastTotal,Oregon,Ignore
3131,NE_Act3,EastTotal,Oregon,Ignore
3133,NE_Act3,EastTotal,Oregon,Ignore
3139,NE_Act3,EastTotal,Oregon,Ignore
3140,SE_Act11,EastTotal,Oregon,Ignore
3141,SE_Act11,EastTotal,Oregon,Ignore
3147,SE_Act11,EastTotal,Oregon,Ignore
3149,SE_Act11,EastTotal,Oregon,Ignore
3150,SE_Act11,EastTotal,Oregon,Ignore
3151,SE_Act11,EastTotal,Oregon,Ignore
3153,SE_Act11,EastTotal,Oregon,Ignore
3157,SE_Act11,EastTotal,Oregon,Ignore
3171,SE_Act11,EastTotal,Oregon,Ignore
3172,SE_Act11,EastTotal,Oregon,Ignore
3177,SE_Act11,EastTotal,Oregon,Ignore
3181,SE_Act11,EastTotal,Oregon,Ignore
3183,SE_Act11,EastTotal,Oregon,Ignore
3184,SE_Act11,EastTotal,Oregon,Ignore
3185,SE_Act11,EastTotal,Oregon,Ignore
4001,NV,Halo,Ignore,Ignore
4002,WA,Halo,Ignore,Ignore
4003,WA,Halo,Ignore,Ignore
4004,NV,Halo,Ignore,Ignore
4005,CA,Halo,Ignore,Ignore
4006,CA,Halo,Ignore,Ignore
4007,CA,Halo,Ignore,Ignore
4008,CA,Halo,Ignore,Ignore
4009,CA,Halo,Ignore,Ignore
4010,NV,Halo,Ignore,Ignore
4011,NV,Halo,Ignore,Ignore
4012,CA,Halo,Ignore,Ignore
4013,CA,Halo,Ignore,Ignore
4014,CA,Halo,Ignore,Ignore
4015,CA,Halo,Ignore,Ignore
4016,CA,Halo,Ignore,Ignore
4017,CA,Halo,Ignore,Ignore
4018,CA,Halo,Ignore,Ignore
4019,CA,Halo,Ignore,Ignore
4021,CA,Halo,Ignore,Ignore
4022,CA,Halo,Ignore,Ignore
4023,CA,Halo,Ignore,Ignore
4025,CA,Halo,Ignore,Ignore
4026,NV,Halo,Ignore,Ignore
4027,WA,Halo,Ignore,Ignore
4028,WA,Halo,Ignore,Ignore
4029,WA,Halo,Ignore,Ignore
4030,WA,Halo,Ignore,Ignore
4031,WA,Halo,Ignore,Ignore
4032,WA,Halo,Ignore,Ignore
4033,WA,Halo,Ignore,Ignore
4034,WA,Halo,Ignore,Ignore
4035,WA,Halo,Ignore,Ignore
4036,WA,Halo,Ignore,Ignore
4037,WA,Halo,Ignore,Ignore
4038,WA,Halo,Ignore,Ignore
4039,WA,Halo,Ignore,Ignore
4040,WA,Halo,Ignore,Ignore
4041,WA,Halo,Ignore,Ignore
4042,WA,Halo,Ignore,Ignore
4043,WA,Halo,Ignore,Ignore
4044,WA,Halo,Ignore,Ignore
4045,WA,Halo,Ignore,Ignore
4046,WA,Halo,Ignore,Ignore
4047,ID,Halo,Ignore,Ignore
4048,WA,Halo,Ignore,Ignore
4049,WA,Halo,Ignore,Ignore
4050,WA,Halo,Ignore,Ignore
4051,WA,Halo,Ignore,Ignore
4052,WA,Halo,Ignore,Ignore
4053,WA,Halo,Ignore,Ignore
4054,WA,Halo,Ignore,Ignore
4055,WA,Halo,Ignore,Ignore
4056,WA,Halo,Ignore,Ignore
4057,WA,Halo,Ignore,Ignore
4058,WA,Halo,Ignore,Ignore
4059,WA,Halo,Ignore,Ignore
4060,WA,Halo,Ignore,Ignore
4061,WA,Halo,Ignore,Ignore
4062,WA,Halo,Ignore,Ignore
4063,WA,Halo,Ignore,Ignore
4064,WA,Halo,Ignore,Ignore
4065,WA,Halo,Ignore,Ignore
4066,WA,Halo,Ignore,Ignore
4067,WA,Halo,Ignore,Ignore
4068,WA,Halo,Ignore,Ignore
4069,WA,Halo,Ignore,Ignore
4070,WA,Halo,Ignore,Ignore
4071,ID,Halo,Ignore,Ignore
4072,ID,Halo,Ignore,Ignore
4073,ID,Halo,Ignore,Ignore
4074,ID,Halo,Ignore,Ignore
4075,ID,Halo,Ignore,Ignore
4076,ID,Halo,Ignore,Ignore
4077,ID,Halo,Ignore,Ignore
4078,ID,Halo,Ignore,Ignore
4079,ID,Halo,Ignore,Ignore
4080,ID,Halo,Ignore,Ignore
4081,ID,Halo,Ignore,Ignore
4082,ID,Halo,Ignore,Ignore
4083,ID,Halo,Ignore,Ignore
4084,ID,Halo,Ignore,Ignore
4085,ID,Halo,Ignore,Ignore
4086,ID,Halo,Ignore,Ignore
4087,ID,Halo,Ignore,Ignore
4088,ID,Halo,Ignore,Ignore
4089,ID,Halo,Ignore,Ignore
4090,ID,Halo,Ignore,Ignore
4091,ID,Halo,Ignore,Ignore
4092,ID,Halo,Ignore,Ignore
4093,ID,Halo,Ignore,Ignore
4094,ID,Halo,Ignore,Ignore
4095,ID,Halo,Ignore,Ignore
4096,ID,Halo,Ignore,Ignore
4105,WA,Halo,Ignore,Ignore
4136,ID,Halo,Ignore,Ignore
4137,ID,Halo,Ignore,Ignore
4138,ID,Halo,Ignore,Ignore
4140,ID,Halo,Ignore,Ignore
4141,ID,Halo,Ignore,Ignore
